density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_%,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
High,B-Gradient90-45,82,6.722719144846621,2.462065520430768,266.3292808551534,97.53793447956924
High,B-Gradient90-45,83,3.4141656877290973,1.250371975934656,269.6378343122709,98.74962802406534
High,B-Gradient90-45,84,4.91805593221717,1.8011426146730911,268.13394406778286,98.1988573853269
High,B-Gradient90-45,85,9.003229437612562,3.297258191704349,264.04877056238746,96.70274180829566
High,B-Gradient90-45,86,3.8165680392988985,1.3977440338466294,269.23543196070113,98.60225596615338
High,B-Gradient90-45,87,3.997181767722808,1.4638903094365936,269.0548182322772,98.5361096905634
High,B-Gradient90-45,88,5.108240751051039,1.8707941165239728,267.943759248949,98.12920588347605
High,B-Gradient90-45,89,4.187544494887184,1.5336069667635408,268.86445550511286,98.46639303323649
High,B-Gradient90-45,8,2.0391116661075985,0.7467851054405749,271.0128883338924,99.25321489455942
High,B-Gradient90-45,90,5.066925682016102,1.8556632736680565,267.9850743179839,98.14433672633194
High,B-Gradient90-45,91,10.60024830269187,3.8821353817924313,262.45175169730817,96.11786461820758
High,B-Gradient90-45,93,9.457819625291094,3.4637430325692886,263.5941803747089,96.53625696743072
High,B-Gradient90-45,94,4.658537485524824,1.7060990161305625,268.3934625144752,98.29390098386943
High,B-Gradient90-45,95,8.6265618181541,3.159310980382528,264.42543818184595,96.84068901961749
High,B-Gradient90-45,96,7.945134540797007,2.9097514542274023,265.106865459203,97.0902485457726
High,B-Gradient90-45,97,7.304420208378007,2.675102254654061,265.747579791622,97.32489774534594
High,B-Gradient90-45,98,5.201300605956709,1.9048754837747783,267.8506993940433,98.0951245162252
High,B-Gradient90-45,99,4.401037282130203,1.6117945600582315,268.65096271786985,98.38820543994176
High,B-Gradient90-45,9,4.666322572758301,1.7089501533621072,268.3856774272417,98.29104984663788
High,C-Uniform90,100,1.9914883295191212,0.7293439819225354,271.0605116704809,99.27065601807745
High,C-Uniform90,10,1.649152916725867,0.6039702755247597,271.40284708327414,99.39602972447524
High,C-Uniform90,11,3.856560484199637,1.4123904912616048,269.1954395158004,98.5876095087384
High,C-Uniform90,12,5.489503202233737,2.01042409586223,267.5624967977663,97.98957590413777
High,C-Uniform90,13,2.2849695752526613,0.8368257970103354,270.76703042474736,99.16317420298968
High,C-Uniform90,14,3.384240472144528,1.2394124460339158,269.6677595278555,98.76058755396608
High,C-Uniform90,15,1.7578871556262103,0.6437920819573599,271.2941128443738,99.35620791804264
High,C-Uniform90,16,1.172961465535138,0.429574390788252,271.8790385344649,99.57042560921174
High,C-Uniform90,17,1.1197309855746502,0.4100797597434372,271.93226901442534,99.58992024025656
High,C-Uniform90,18,1.8261335568185453,0.6687860029659352,271.2258664431815,99.33121399703408
High,C-Uniform90,19,0.945946756491448,0.3464346558499655,272.1060532435086,99.65356534415004
High,C-Uniform90,1,3.402724087514413,1.2461817117305176,269.6492759124856,98.75381828826949
High,C-Uniform90,20,2.119054049209326,0.7760624530160285,270.93294595079067,99.22393754698396
High,C-Uniform90,22,2.448288172560319,0.8966380662146108,270.6037118274397,99.1033619337854
High,C-Uniform90,23,1.1727151761741932,0.4294841920858273,271.87928482382586,99.57051580791418
High,C-Uniform90,24,2.2874072878803884,0.8377185619883348,270.7645927121196,99.16228143801166
High,C-Uniform90,26,2.1279465597893177,0.7793191625731793,270.9240534402107,99.2206808374268
High,C-Uniform90,27,0.9739114316908722,0.3566761758532705,272.0780885683092,99.64332382414672
High,C-Uniform90,28,4.595656311732768,1.6830700056153287,268.4563436882672,98.31692999438468
High,C-Uniform90,29,4.728725723675144,1.731804097269071,268.32327427632487,98.26819590273092
High,C-Uniform90,2,2.010075757402771,0.7361512669391803,271.04192424259725,99.26384873306084
High,C-Uniform90,30,2.5933875179539854,0.9497778877114929,270.458612482046,99.0502221122885
High,C-Uniform90,31,1.170845812298139,0.4287995738167599,271.8811541877019,99.57120042618324
High,C-Uniform90,32,3.0352753637685543,1.111610742191434,270.01672463623146,98.88838925780856
High,C-Uniform90,33,2.9570512633850417,1.0829626823407414,270.094948736615,98.91703731765926
High,C-Uniform90,34,2.7953946412749264,1.0237590793236917,270.2566053587251,98.9762409206763
High,C-Uniform90,35,1.6855196410971445,0.6172888831054687,271.3664803589029,99.38271111689454
High,C-Uniform90,36,1.5810134737166226,0.5790155258766179,271.4709865262834,99.4209844741234
High,C-Uniform90,37,4.2257174880757855,1.5475870852715912,268.82628251192426,98.4524129147284
High,C-Uniform90,38,2.939616834503576,1.0765776608497928,270.11238316549645,98.9234223391502
High,C-Uniform90,39,1.4902708540314202,0.5457828010896899,271.5617291459686,99.45421719891031
High,C-Uniform90,3,2.2969108084778846,0.8411990421157453,270.75508919152213,99.15880095788424
High,C-Uniform90,40,2.4167480282626723,0.8850870999892593,270.6352519717374,99.11491290001076
High,C-Uniform90,41,2.1547739419324707,0.7891441710489102,270.8972260580676,99.21085582895108
High,C-Uniform90,42,3.4241862223261936,1.2540418024135307,269.62781377767385,98.74595819758648
High,C-Uniform90,43,2.870044346028701,1.051098086089353,270.18195565397133,98.94890191391065
High,C-Uniform90,44,2.584551348820751,0.9465418121166485,270.46744865117927,99.05345818788336
High,C-Uniform90,46,1.6127997489605403,0.5906566327880917,271.4392002510395,99.40934336721192
High,C-Uniform90,47,1.8072065311101868,0.6618543468314412,271.24479346888984,99.33814565316855
High,C-Uniform90,48,2.2744921820614654,0.832988654930733,270.77750781793856,99.16701134506928
High,C-Uniform90,49,1.9641785707080224,0.7193423123463744,271.087821429292,99.28065768765362
High,C-Uniform90,4,1.7186894207391727,0.6294366716739569,271.33331057926085,99.37056332832604
High,C-Uniform90,50,4.158793958543026,1.523077640355326,268.893206041457,98.47692235964467
High,C-Uniform90,51,4.658153376071322,1.7059583434918335,268.3938466239287,98.29404165650816
High,C-Uniform90,52,2.516452649706226,0.9216019841298456,270.53554735029377,99.07839801587014
High,C-Uniform90,53,1.885884486340175,0.6906686222185425,271.16611551365986,99.30933137778146
High,C-Uniform90,54,3.363801581998921,1.2319270988672195,269.6881984180011,98.76807290113275
High,C-Uniform90,55,0.5470081387300048,0.2003311232768867,272.50499186127,99.79966887672312
High,C-Uniform90,56,3.338148052245405,1.222531991065953,269.7138519477546,98.77746800893404
High,C-Uniform90,57,3.40433130655331,1.2467703245364654,269.6476686934467,98.75322967546352
High,C-Uniform90,58,2.2474615529929984,0.823089211209952,270.804538447007,99.17691078879004
High,C-Uniform90,59,1.323970806953036,0.4848786337228938,271.728029193047,99.51512136627711
High,C-Uniform90,5,1.6275438783839768,0.5960563842725842,271.42445612161606,99.4039436157274
High,C-Uniform90,60,2.5783395956666006,0.9442668779817034,270.47366040433343,99.0557331220183
High,C-Uniform90,61,3.6605979394491546,1.3406230093349083,269.3914020605509,98.65937699066512
